AccNum,Xtnd,Lon,Lat,Zmin,Zmax,NmnlArea,TermType,,
1,0,-90.83,79.5,56,1782,38.7,0,,
2,0,-90.97,79.43,715,1165,0.61,0,,
3,0,-99.13,79.95,70,267,85,0,,
4,0,-82.5,75.33,0,1800,1695.1,0,,
5,0,-64.5,81.95,850,900,7.6,0,,
6,0,-69.92,69.66,400,1500,8.6,0,,
7,0,-79.17,75.9,20,530,4.3,0,,
8,0,-116.58,51.67,2125,3185,13.4,0,,
9,0,-121.02,48.37,1630,2140,2.5,2,,
10,0,-123.68,47.82,1235,2380,5.5,0,,
11,0,-145.427,63.281,1160,2460,19.3,0,,
12,0,-148.908,60.412,400,1700,17.7,0,,
13,0,-143.848,69.302,1320,2700,7.4,0,,
14,0,8.03,46.5,1555,4158,127.4,0,,
15,0,18.57,67.9,1135,1720,3.24,0,,
16,0,-76.58,81.45,300,1700,4.7,0,,
17,0,-115.02,75.42,490,715,66,0,,
18,0,-72.42,69.78,365,951,266.6,0,,
19,0,-72.42,69.73,365,951,409.1,0,,
20,0,-73.6,70.2,244,1128,3090,0,,
21,1,-73.488,70.018,244,1128,5863,2,,
22,0,8.13,61.57,1400,2102,5.1,0,,
23,0,7.13,61.72,313,1952,46.6,0,,
24,0,17.85,68.33,850,1200,2.2,0,,
25,0,12.07,78.88,50,650,5.8,0,,
26,0,11.83,78.88,60,600,6.1,0,,
27,0,-45.35,61.43,1080,1630,1.9,0,,
28,0,-52.13,65.6,517,1040,20.8,0,,
29,0,13.75,66.67,89,1574,38.7,0,,
30,0,-131.06,56.955,610,2190,91.9,0,,
31,0,66.03,67.58,827,1180,0.8,0,,
32,0,87.75,50.08,2229,3714,3.8,0,,
33,0,161.72,54.83,280,1200,8.8,0,,
34,0,95.49,79.35,40,728,1817,0,,
35,0,-65.27,67.58,750,1350,1.4,0,,
36,0,13,78.75,0,850,102,1,,
37,0,15.17,77.85,100,900,33.8,0,,
38,0,13.94,78.05,100,500,1.9,0,,
39,0,15.5,78.2,270,1030,3.3,0,,
40,0,15.6,78.15,320,945,4.2,0,,
41,0,16.262,78.702,130,740,4.36,0,,
42,0,18.5,78.1,100,560,4.7,0,,
43,0,-146.95,63.52,815,4003,323,0,,
44,0,-147.38,63.52,845,3591,311,0,,
45,0,-146.78,63.43,880,-999,46,0,,
46,0,-146.54,63.35,930,5284,68,0,,
47,0,-71.3,82.2,410,1850,480,0,,
48,0,-18.38,65.59,940,1300,1.7,0,,
49,0,-18.75,64.92,860,1800,90.6,0,,
50,0,10.55,46.65,2790,3150,0.4,0,,
51,0,14.07,66.66,850,1250,3.9,-9,,
52,0,6.46,60.15,1100,1570,8.7,0,,
53,0,7.37,60.53,1020,1865,17.3,0,,
54,0,5.65,61.75,903,1382,4.5,0,,
55,0,8.43,61.57,1482,2229,2.9,0,,
56,0,8.6,61.65,1833,2283,2.1,0,,
57,0,17.9,68.23,970,1850,5.9,-9,,
58,0,18,68.1,1210,1540,0.7,0,,
59,0,7.27,61.83,1130,1730,4.2,0,,
60,0,7.08,61.6,540,1930,50.1,0,,
61,0,7.486,60.639,1460,1570,1.5,-9,,
62,0,8.45,61.53,1570,2230,9,0,,
63,0,8.5,61.55,1630,2250,8.7,0,,
64,0,6.8,61.5,80,1740,12,0,,
65,0,14.45,66.72,900,1300,1.6,0,,
66,0,13.65,66.45,590,1170,2.6,0,,
67,0,14.356,66.015,1090,1760,1.1,-9,,
68,0,13.95,66.85,870,1110,2.2,-9,,
69,0,6.28,59.98,850,1640,45.7,0,,
70,0,6.34,60.04,480,1635,10.7,0,,
71,0,15.4,77.08,27,810,28,0,,
72,0,15.67,77.08,0,600,66,1,,
73,0,14,66.67,520,1580,62.4,-9,,
74,0,14.02,66.72,580,1260,4.9,0,,
75,0,5.68,61.75,940,1320,3.3,-9,,
76,0,14.37,66.23,730,1750,14,0,,
77,0,7.35,61.8,1200,1747,10.6,2,,
78,0,21.77,70.12,302,1050,3.2,0,,
79,0,7.45,61.61,1260,1770,27.9,0,,
80,0,13.77,66.55,770,1420,5.5,1,,
81,0,18.55,67.9,1071,1700,3.9,0,,
82,0,18.32,68.35,940,1500,1.2,0,,
83,0,18.08,68.08,1125,1456,4.65,0,,
84,0,18.65,67.93,1390,1710,0.9,0,,
85,0,-45.92,60.25,900,1300,1.4,0,,
86,0,-145.13,60.55,112,1164,54.1,0,,
87,0,-139.3,60,50,2490,28,0,,
88,0,-147.1,61,0,3353,1070,1,,
89,0,-148.97,61.25,732,1769,31.6,0,,
90,0,-118.05,51.12,1920,2670,3.9,0,,
91,0,-122.6,50.43,1850,2610,3.8,0,,
92,0,-122.98,49.9,1530,2100,2,0,,
93,0,-116.18,51.85,2560,3020,1.8,0,,
94,0,-130.82,57.1,1190,1820,5.8,0,,
95,0,-130.684,56.975,1390,2010,3.6,0,,
96,0,-123.58,50.87,1520,2750,112.8,2,,
97,0,-123.58,50.87,1529,2750,25.4,0,,
98,0,-123.57,50.82,1400,2900,88.1,2,,
99,0,-123.42,50.8,2010,2500,6.5,0,,
100,0,-123,49.97,1770,2150,2.9,0,,
101,0,-125.2,51.33,500,3900,66.224,0,,
102,0,-124.92,51.43,1480,2740,10.5,0,,
103,0,-137.77,59.68,670,1980,25.5,0,,
104,0,6.17,45.12,2830,3190,0.8,0,,
105,0,6.93,45.88,1480,3600,33,0,,
106,0,6.17,45.18,2650,3463,3,0,,
107,0,6.93,45.97,1550,3100,15.6,0,,
108,0,10.7,46.45,2857,3350,4.8,0,,
109,0,10.98,47.42,2560,2820,0.3,0,,
110,0,8.33,46.43,2370,3373,6.3,2,,
